INDIVIDUAL_ID,INCOME,HAS_CHILDREN,LENGTH_OF_RESIDENCE,MARITAL_STATUS,HOME_MARKET_VALUE,HOME_OWNER,COLLEGE_DEGREE,GOOD_CREDIT
221302803089.0,125000.0,1.0,8.0,Single,300000 - 349999,1,1,1
221303165601.0,42500.0,0.0,0.0,Single,,0,0,0
221303160257.0,27500.0,0.0,15.0,Married,75000 - 99999,1,0,1
221303153810.0,80372.176,0.0,0.0,,1000 - 24999,1,0,0
221303153255.0,125000.0,0.0,0.0,,,0,0,1
221303149860.0,70000.0,1.0,14.0,Married,100000 - 124999,1,0,1
221303145066.0,87500.0,1.0,3.0,Single,75000 - 99999,1,0,1
221303141057.0,62500.0,1.0,5.0,Married,50000 - 74999,1,0,1
221303155883.0,125000.0,0.0,3.0,Married,75000 - 99999,1,1,1
221303150302.0,42500.0,1.0,5.0,,75000 - 99999,0,1,1
221303148317.0,57500.0,0.0,3.0,Single,50000 - 74999,1,1,1
221303301144.0,80372.176,0.0,6.801,,100000 - 124999,0,0,1
221303293724.0,80372.176,0.0,6.801,,125000 - 149999,0,0,0
221303290812.0,80372.176,0.0,6.801,,150000 - 174999,0,0,0
221301399087.0,47500.0,1.0,15.0,Married,50000 - 74999,1,0,1
221301491840.0,47500.0,1.0,2.0,Married,200000 - 224999,1,0,0
221301487702.0,70000.0,0.0,0.0,,,0,0,1
221301487352.0,37500.0,1.0,1.0,Married,75000 - 99999,1,1,1
221301484533.0,47500.0,1.0,3.0,Single,50000 - 74999,1,0,1
221301481474.0,87500.0,1.0,6.0,Married,100000 - 124999,1,1,1
221300789738.0,125000.0,0.0,12.0,Single,125000 - 149999,1,1,1
221300783647.0,62500.0,0.0,5.0,Married,50000 - 74999,1,0,1
221300774055.0,47500.0,0.0,0.0,,,0,0,1
221300757360.0,125000.0,0.0,9.0,Single,200000 - 224999,1,1,1
221300750689.0,32500.0,1.0,3.0,Single,275000 - 299999,0,0,1
221301787134.0,87500.0,1.0,12.0,Single,75000 - 99999,1,0,1
221301787058.0,87500.0,0.0,6.0,Single,75000 - 99999,1,0,1
221301732353.0,125000.0,1.0,10.0,Married,125000 - 149999,1,1,1
221301728054.0,27500.0,0.0,0.0,Single,,0,0,1
221301994630.0,125000.0,1.0,4.0,Married,200000 - 224999,1,0,0
221301991394.0,70000.0,1.0,0.0,Married,,0,0,1
221301985915.0,70000.0,1.0,8.0,Married,100000 - 124999,1,0,1
221301978090.0,87500.0,1.0,12.0,Married,75000 - 99999,1,0,1
221301975182.0,57500.0,0.0,7.0,Married,50000 - 74999,1,1,1
221301865939.0,87500.0,1.0,6.0,Married,250000 - 274999,1,1,1
221302364184.0,80372.176,0.0,0.0,,50000 - 74999,0,0,1
221302353590.0,125000.0,1.0,4.0,Married,75000 - 99999,1,1,1
221302347156.0,87500.0,1.0,3.0,Single,100000 - 124999,1,0,1
221302346091.0,125000.0,0.0,15.0,Married,100000 - 124999,1,1,0
221302467417.0,70000.0,1.0,4.0,Married,200000 - 224999,1,0,0
221302464353.0,250000.0,1.0,15.0,Married,150000 - 174999,1,0,1
221302460969.0,162500.0,0.0,15.0,Married,150000 - 174999,1,1,1
221302430018.0,87500.0,1.0,4.0,Single,75000 - 99999,1,0,1
221302378275.0,80372.176,0.0,6.801,,50000 - 74999,0,0,0
221302377748.0,47500.0,1.0,5.0,Married,75000 - 99999,0,0,1
221302370015.0,125000.0,1.0,6.0,Married,50000 - 74999,1,0,1
221302369933.0,70000.0,0.0,8.0,Married,100000 - 124999,1,0,0
221302368494.0,80372.176,0.0,1.0,,25000 - 49999,0,0,1
221302352417.0,42500.0,0.0,3.0,Single,250000 - 274999,0,1,1
221302348112.0,42500.0,0.0,12.0,Married,75000 - 99999,1,0,1
221302310668.0,87500.0,0.0,8.0,Married,75000 - 99999,1,0,1
221302304128.0,32500.0,0.0,6.801,Single,25000 - 49999,0,0,0
221302296331.0,225000.0,1.0,0.0,Married,,0,0,1
221302281960.0,87500.0,1.0,15.0,Married,50000 - 74999,1,0,1
221302278053.0,187500.0,0.0,15.0,Married,75000 - 99999,1,0,1
221302271006.0,70000.0,1.0,1.0,Married,100000 - 124999,1,0,1
221302307463.0,80372.176,0.0,0.0,,,0,0,0
221302304472.0,125000.0,1.0,2.0,Married,125000 - 149999,1,0,1
221302303207.0,87500.0,1.0,1.0,Married,175000 - 199999,1,0,1
221302299959.0,125000.0,1.0,14.0,Married,400000 - 449999,1,0,1
221302293002.0,80372.176,0.0,4.0,,200000 - 224999,1,0,1
221302284643.0,125000.0,0.0,2.0,Married,225000 - 249999,1,1,1
221302263753.0,70000.0,0.0,6.0,Married,400000 - 449999,1,1,1
221302263342.0,47500.0,0.0,3.0,Married,300000 - 349999,0,0,1
221302251283.0,47500.0,1.0,0.0,Single,100000 - 124999,0,1,1
221302513270.0,57500.0,1.0,7.0,Married,75000 - 99999,1,0,1
221302501777.0,125000.0,1.0,6.0,Married,200000 - 224999,1,1,1
221302500625.0,125000.0,0.0,12.0,Married,75000 - 99999,1,0,1
221302500457.0,80372.176,0.0,6.801,,150000 - 174999,0,0,1
221302353587.0,47500.0,1.0,13.0,Married,125000 - 149999,1,0,1
221301011931.0,12500.0,1.0,8.0,Married,25000 - 49999,1,0,0
221300973016.0,70000.0,1.0,13.0,Single,75000 - 99999,1,0,0
221301228614.0,47500.0,0.0,1.0,,125000 - 149999,1,0,1
221300497480.0,80372.176,0.0,10.0,Single,175000 - 199999,0,0,1
221300471986.0,125000.0,1.0,15.0,Married,125000 - 149999,1,0,1
221300529822.0,125000.0,0.0,10.0,Married,100000 - 124999,1,1,1
221300526715.0,80372.176,0.0,6.801,,275000 - 299999,0,0,1
221300525434.0,80372.176,0.0,6.801,,175000 - 199999,0,0,1
221300524638.0,70000.0,0.0,15.0,Married,175000 - 199999,1,1,1
221301818926.0,87500.0,1.0,0.0,Married,,0,0,1
221301813690.0,80372.176,0.0,9.0,Single,75000 - 99999,0,0,1
221301642596.0,5000.0,1.0,2.0,Married,50000 - 74999,1,0,0
221302020940.0,70000.0,1.0,2.0,,100000 - 124999,1,0,1
221302012479.0,225000.0,0.0,10.0,Married,200000 - 224999,1,0,1
221302088589.0,87500.0,0.0,4.0,Married,125000 - 149999,1,0,1
221302050854.0,27500.0,1.0,15.0,,75000 - 99999,1,0,1
221302111614.0,70000.0,0.0,10.0,Married,100000 - 124999,1,1,1
221302097869.0,52500.0,0.0,13.0,Married,50000 - 74999,1,0,1
221302202283.0,80372.176,0.0,0.0,,75000 - 99999,1,0,0
221302201278.0,250000.0,1.0,6.0,Married,200000 - 224999,1,1,1
221302193757.0,52500.0,0.0,15.0,Single,50000 - 74999,1,0,1
221302916455.0,80372.176,0.0,6.801,,450000 - 499999,0,0,1
221302912943.0,57500.0,1.0,15.0,Single,75000 - 99999,1,0,1
221302875044.0,52500.0,0.0,4.0,Single,75000 - 99999,1,0,1
221302873573.0,62500.0,0.0,1.0,Married,50000 - 74999,1,0,1
221302870996.0,87500.0,0.0,6.0,Married,125000 - 149999,1,0,1
221302870562.0,80372.176,0.0,1.0,Single,75000 - 99999,0,0,1
221302864949.0,62500.0,0.0,5.0,Married,100000 - 124999,0,0,1
221303139871.0,62500.0,1.0,2.0,Married,75000 - 99999,1,0,0
221303138403.0,80372.176,0.0,6.801,,75000 - 99999,0,0,1
221303134807.0,70000.0,0.0,4.0,Single,125000 - 149999,1,1,1
